-4,-48,-36,78;1
9,-44,5,37;1
56,-38,9,33;1
-37,-74,-6,48;1
-5,16,-34,76;1
-49,-85,97,-55;1
39,-38,44,-2;1
-99,4,-12,54;1
-72,-56,80,-38;1
-72,-30,69,-27;1
48,-64,100,-58;1
77,-23,14,28;1
-83,24,34,8;1
30,-27,12,30;1
94,54,13,29;1
72,37,-26,68;1
62,-58,67,-25;1
-89,-76,60,-18;1
-3,-31,63,-21;1
46,46,95,-53;1
41,20,94,-52;1
-58,-94,-28,70;1
-86,-40,-44,86;1
34,-57,-36,78;1
56,0,-23,65;1
-12,-49,57,-15;1
-67,12,83,-41;1
-44,37,8,34;1
-61,-3,51,-9;1
77,91,79,-37;1
-37,58,5,37;1
29,76,32,10;1
-48,13,14,28;1
-81,-26,58,-16;1
-78,-57,16,26;1
87,84,2,40;1
-83,25,14,28;1
3,8,-12,54;1
20,-20,35,7;1
83,34,-20,62;1
79,-83,-45,87;1
-43,-55,-1,43;1
-56,6,78,-36;1
-17,18,-43,85;1
91,76,64,-22;1
93,27,74,-32;1
75,-16,-42,84;0
98,-61,100,-58;1
56,50,-18,60;1
-30,38,-22,64;0
-75,36,-18,60;1
-13,-72,76,-34;1
-61,26,67,-25;1
8,91,7,35;1
71,64,85,-43;0
25,-85,-11,53;0
-99,-96,65,-23;1
-18,88,-33,75;1
57,-89,47,-5;1
-3,-31,63,-21;0
-37,58,5,37;0
-75,-96,-13,55;0
94,-14,-46,88;0
91,-39,-10,52;1
40,4,96,-54;0
93,40,100,-58;0
-96,34,84,-42;0
-13,-72,76,-34;0
-61,26,67,-25;0
-56,32,35,7;1
-18,-21,92,-50;1
-2,-73,-20,62;1
73,-56,3,39;1
66,-8,47,-5;1
-83,24,34,8;0
42,-2,-46,88;1
-86,19,76,-34;1
99,-53,-37,79;1
61,-71,2,40;1
57,-89,47,-5;0
-66,-32,21,21;0
-47,42,82,-40;0
-16,87,76,-34;0
52,-66,-30,72;1
-84,53,-5,47;1
-7,-29,86,-44;1
43,8,59,-17;0
53,-88,11,31;0
47,62,-1,43;1
-58,-94,-28,70;0
-61,33,42,0;1
67,74,0,42;0
43,8,59,-17;1
-22,-73,98,-56;1
3,99,66,-24;1
87,84,2,40;0
-30,38,-22,64;1
12,32,-47,89;0
-29,-45,17,25;0
-57,-56,44,-2;0
29,94,81,-39;0
-83,-10,50,-8;1
12,32,-47,89;1
11,77,89,-47;1
83,88,32,10;1
-82,-62,10,32;1
-59,-18,85,-43;0
-10,-7,-17,59;1
-53,34,-50,92;1
-95,26,49,-7;0
-96,34,84,-42;1
-11,19,57,-15;0
95,2,82,-40;0
18,95,12,30;1
15,54,10,32;0
31,26,-34,76;0
53,-88,11,31;1
98,-93,-39,81;0
